Metodo, Video, 2, 4, 6, 9
Mas cercano, morocho, 78374, 110991, 163281, 227530
Mas cercano, tenis, 57519, 82278, 108684, 155019
Mas cercano, bebes, 213493, 319030, 455252, 592792
Mas cercano, fideos, 115105, 212237, 262570, 378609
Mas cercano, perro, 33901, 54115, 72234, 105073
Mas cercano, cupcake, 30675, 42600, 56781, 77690
Lineal, morocho, 88872, 124483, 176533, 254843
Lineal, tenis, 62747, 89088, 122610, 177430
Lineal, bebes, 234082, 351991, 470707, 643106
Lineal, fideos, 135004, 210180, 287741, 409345
Lineal, perro, 35611, 57951, 80562, 117638
Lineal, cupcake, 33325, 46967, 62531, 82579
Splines por Bloques, morocho, 151293, 217331, 303128, 431703
Splines por Bloques, tenis, 113090, 170226, 231564, 323587
Splines por Bloques, bebes, 367953, 556863, 781008, 1097226
Splines por Bloques, fideos, 247491, 390487, 552628, 780132
Splines por Bloques, perro, 73024, 112368, 159034, 223871
Splines por Bloques, cupcake, 55996, 80865, 109008, 158519